Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
QQQ260415C00633000,QQQ260415C00633000,Sell,Cancelled,0,1,@3.00,,DAY,04/14/2026 15:58:21 EDT,
QQQ260415C00633000,QQQ260415C00633000,Sell,Cancelled,0,1,0.010,,DAY,04/14/2026 15:58:21 EDT,
QQQ260415C00633000,QQQ260415C00633000,Sell,Cancelled,0,1,0.320,,DAY,04/14/2026 15:57:46 EDT,
QQQ260415C00633000,QQQ260415C00633000,Sell,Cancelled,0,1,@1.65,,DAY,04/14/2026 15:57:46 EDT,
QQQ260415C00633000,QQQ260415C00633000,Sell,Filled,1,1,0.4700000000,0.4700000000,DAY,04/14/2026 15:56:09 EDT,04/14/2026 15:56:09 EDT
QQQ260415C00633000,QQQ260415C00633000,Sell,Filled,1,1,0.4500000000,0.4500000000,DAY,04/14/2026 15:55:28 EDT,04/14/2026 15:55:28 EDT
QQQ260415C00633000,QQQ260415C00633000,Buy,Filled,1,1,0.4100000000,0.4100000000,DAY,04/14/2026 15:51:27 EDT,04/14/2026 15:51:27 EDT
QQQ260415C00633000,QQQ260415C00633000,Buy,Filled,2,2,0.5200000000,0.5200000000,DAY,04/14/2026 15:50:26 EDT,04/14/2026 15:50:26 EDT
QQQ260415C00633000,QQQ260415C00633000,Sell,Cancelled,0,2,@0.750,,DAY,04/14/2026 15:50:19 EDT,
QQQ260415C00633000,QQQ260415C00633000,Buy,Cancelled,0,2,@0.500,,DAY,04/14/2026 15:50:19 EDT,
QQQ260415C00633000,QQQ260415C00633000,Sell,Cancelled,0,2,0.250,,DAY,04/14/2026 15:50:19 EDT,
SPY260414P00691000,SPY260414P00691000,Sell,Filled,5,5,0.0600000000,0.0600000000,DAY,04/14/2026 15:05:36 EDT,04/14/2026 15:05:36 EDT
SPY260414P00691000,SPY260414P00691000,Sell,Cancelled,0,5,@0.450,,DAY,04/14/2026 14:56:47 EDT,
SPY260414P00691000,SPY260414P00691000,Sell,Cancelled,0,5,0.020,,DAY,04/14/2026 14:56:47 EDT,
SPY260414P00691000,SPY260414P00691000,Buy,Filled,2,2,0.2200000000,0.2200000000,DAY,04/14/2026 14:33:30 EDT,04/14/2026 14:33:30 EDT
